artifact_row_index,source_id,district
168675,7459797,mimosas
168676,7459858,derb sid daoui
168677,7459859,corniche
168678,7459861,corniche
168681,7460219,cite des cadres saniat al mourakib
168684,7460595,derb sid daoui
168687,7460978,sidi moussa
168689,7461134,agdal
168691,7461138,gauthier
168692,7461171,sidi bouknadel
168693,7461348,la ville haute
168694,7461573,belvedere
168695,7461574,belvedere
168697,7461576,belvedere
168698,7461579,belvedere
168699,7461580,belvedere
168702,7461637,mhamid
168703,7461638,mhamid
168706,7461643,mhamid
168708,7461645,mhamid
168715,7462193,racine
168716,7462229,racine
168719,7462373,haut anza
168721,7462602,oulfa
168722,7462733,errahma
168726,7462909,moujahidine
168728,7462911,moujahidine
168730,7462913,moujahidine
168731,7462914,moujahidine
168733,7462916,moujahidine
168734,7462917,moujahidine
168735,7462918,moujahidine
168736,7462920,moujahidine
168737,7462921,moujahidine
168738,7462922,moujahidine
168739,7462954,belvedere
168740,7463320,plateau
168750,7464351,californie
168751,7464591,dar bouazza
168758,7464896,derb al hajjar
168759,7464900,derb sid daoui
168762,7464995,corniche
168774,7465305,triangle d or
168775,7465462,mirleft
168777,7465830,medina
168782,7466981,taghazout
168783,7467048,route de marrakech
168784,7467068,la gironde
168805,7468591,khouribga
168806,7468610,gauthier
168808,7469025,sidi rahal
168809,7469332,route casablanca
168812,7469623,ait faska
168826,7470891,dar bouazza
168827,7471003,californie
168834,7471841,riyad
168835,7472199,bouskoura ville
168843,7473170,val fleuri
168844,7473176,bouskoura ville
168850,7473664,sidi rahal
168852,7473902,route de safi
168854,7474217,bab ighli
168861,7474711,fonciere
168869,7475448,mehdia
168873,7476287,route de fez
168874,7476293,route de fez
168875,7476318,manar
168876,7476484,ain diab
168884,7478118,ourika
168886,7478401,sidi rahal
168895,7478798,route nationale assilah n1
168903,7479786,bouskoura ville
168905,7480091,centre ville
168908,7480453,dar bouazza
168911,7480526,casablanca finance city
168914,7480645,route de marrakech
168918,7481353,polo
168928,7482578,riyad
168933,7483367,route nationale assilah n1
168937,7483583,route de ouarzazate
168946,7484559,atlas
168948,7484675,asilah
168949,7484745,route de l ourika
168954,7485185,ait melloul
168960,7485593,riad zitoun
168963,7485975,sidi bouzid
168965,7486093,gueliz
168969,7486836,azemmour
168977,7487987,californie
168979,7488216,centre ville
168983,7488583,wifak
169006,7490966,oulad salah
169008,7491444,hay mabrouka
169021,7492317,al kawtar
169029,7492695,souissi
169037,7493549,centre
169039,7493668,centre
169047,7494157,hay mohammadi
169058,7495214,roches noires
169081,7496571,martil
169089,7497106,essaouira
169092,7497405,californie
169096,7497547,el moukef
169098,7497920,ennakhil palmeraie
169102,7498197,douar laarab
169105,7498879,hikma i
169111,7499176,oulfa
169112,7499235,mhamid
169114,7499374,souissi
169134,7500936,oasis
169148,7501279,ain diab
169149,7501295,route de l ourika
169157,7501577,maarif extension
169162,7502381,malabata
169163,7502598,sidi moumen
169164,7503049,ennakhil palmeraie
169165,7503113,hay el boughaz
169167,7503246,bejaad
169168,7503298,riyad
169175,7503652,riviera
169176,7503656,riviera
169177,7503663,riviera
169179,7503673,riviera
169180,7503677,riviera
169181,7503678,riviera
169184,7504049,ahl loghlam hay assalam
169187,7504352,maamora
169189,7504394,agdal
169194,7504854,dar bouazza
169200,7505265,ain sebaa
169204,7506028,maarif extension
169205,7506157,bir rami est
169206,7506289,centre
169215,7507337,saidia
169216,7507461,anfa superieur
169217,7507467,anfa
169219,7507558,zone industrielle mghogha
169232,7509109,malabata
169239,7509842,ain attig
169240,7510074,tirakaa
169241,7510088,bourrous
169246,7510656,centre ville
169253,7512541,ahlane
169257,7512929,l ocean
169258,7512931,route de marrakech
169265,7513652,casablanca
169266,7513653,casablanca
169269,7514208,marjane
169272,7514665,hay targa
169278,7515231,ain diab
169282,7515487,bouskoura ville
169283,7515652,ville verte
169291,7516982,gauthier
169298,7518740,cente
169300,7518912,souk sebt ouled nemma
169301,7518983,amelkis
169302,7519221,bourgogne ouest
169303,7519355,la ville haute
169306,7519525,hamria
169307,7519637,riyad
169310,7520039,agdal
169315,7520508,ain diab
169319,7520769,sania
169323,7520939,habbous
169324,7520964,hassan centre ville
169326,7521024,les orangers
169335,7522939,sidi rahal chatai
169336,7522983,mers el kheir
169339,7524039,bouskoura ville
169343,7524358,l habitat
169346,7524784,ait ourir
169351,7525344,centre ville
169352,7525406,oulfa
169353,7525454,ksar bjir
169354,7525491,hay essalam
169355,7525521,souissi
169356,7525715,errahma
169362,7526498,racine
169363,7526558,maarif extension
169364,7526575,riyad
169365,7527110,hay al amal
169367,7527288,triangle d or
169368,7527296,racine
169374,7528391,mister khouch
169376,7528643,nassim 1
